Tenure Months,Total Charges,Churn Value,Churn Score,CLTV,Geo Cluster,Gender_Male,Senior Citizen_Yes,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_Yes,Online Backup_Yes,Device Protection_Yes,Tech Support_Yes,Streaming TV_Yes,Streaming Movies_Yes,Contract_encoded
6,531,1,98,4571,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0
12,834,1,58,5432,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1
12,4885,1,94,5534,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0
20,1817,1,94,3574,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1
6,3590,1,75,4431,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1
7,4932,1,92,3132,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
1,1101,1,81,3731,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1
5,2842,1,73,4447,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1
9,2221,1,95,5345,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1
13,3498,1,80,3638,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1
16,1369,1,53,4355,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
4,2893,1,54,2830,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0
18,3116,1,53,4513,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1
17,4562,1,79,2385,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
11,4089,1,52,5346,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0
18,4019,1,84,3907,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0
6,4480,1,97,4418,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0
19,4649,1,63,5359,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
18,3225,1,77,5905,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0
19,972,1,86,4178,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0
13,683,1,65,4152,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1
17,1429,1,51,3742,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
5,4986,1,85,4298,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0
16,4564,1,99,5483,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
12,2701,1,98,4650,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0
11,3912,1,83,3799,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0
8,2272,1,74,4334,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0
5,3987,1,62,5985,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
11,4643,1,91,2252,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0
2,3896,1,53,4124,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
13,1750,1,50,4640,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1
13,4444,1,69,3669,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
15,3854,1,78,2297,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0
13,2331,1,64,4799,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1
1,3222,1,70,4021,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1
6,839,1,52,4213,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0
3,822,1,91,4697,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1
8,4230,1,89,4722,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1
3,636,1,85,4927,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0
10,2711,1,66,5448,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1
5,799,1,52,4781,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1
18,943,1,88,5492,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
15,3968,1,61,3364,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0
14,2215,1,92,5463,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
10,3067,1,82,4020,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1
1,2891,1,62,4564,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0
17,1214,1,67,3337,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1
2,1442,1,81,5913,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1
18,4002,1,99,2599,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1
17,3666,1,92,4425,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1
16,2656,1,50,5123,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0
1,298,1,64,2527,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
2,3266,1,50,2990,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1
1,4308,1,83,4921,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1
10,2385,1,55,5935,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1
7,4183,1,82,5983,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0
13,2160,1,57,5291,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0
15,4404,1,54,3679,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0
15,3150,1,99,2833,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0
7,4315,1,56,5775,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
5,2508,1,98,5993,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1
13,3791,1,61,2880,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0
10,4693,1,66,4337,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0
14,4480,1,65,5731,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
14,3622,1,50,3054,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0
8,4985,1,75,5304,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0
12,4424,1,55,2620,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1
2,775,1,58,2846,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
15,2412,1,62,2985,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1
8,3020,1,77,2903,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1
3,1429,1,77,2995,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
1,3157,1,62,3194,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1
15,3321,1,64,3679,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0
16,3743,1,95,2833,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0
5,3882,1,61,3340,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0
8,2642,1,74,5713,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0
11,4774,1,95,3084,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1
5,1033,1,73,3137,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0
4,1044,1,81,2937,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0
16,3969,1,51,5189,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
2,3686,1,56,5039,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0
7,2999,1,56,5602,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1
2,3971,1,59,3561,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1
7,2953,1,96,3741,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1
11,1307,1,76,4534,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1
11,3950,1,88,5991,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1
5,503,1,91,3229,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0
16,2103,1,50,5239,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0
7,2395,1,89,5798,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1
7,1358,1,63,3765,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0
3,4488,1,95,2769,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1
10,905,1,51,4399,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0
9,1284,1,57,3861,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1
13,3645,1,98,5168,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0
6,3679,1,98,4023,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
14,1379,1,86,3192,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1
6,1094,1,91,3692,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
13,3330,1,77,4455,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1
12,2108,1,53,2600,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0
15,3835,1,87,3479,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0
1,4382,1,53,2524,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0
18,3629,1,60,5805,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1
16,4656,1,91,2372,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0
11,646,1,94,2628,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0
10,3611,1,59,2266,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0
3,687,1,60,3435,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0
11,3901,1,100,3217,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1
5,4322,1,99,5758,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1
20,3381,1,59,3915,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
3,2710,1,99,4848,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0
19,1673,1,94,4863,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0
2,3823,1,87,2805,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0
17,3734,1,83,2478,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0
9,943,1,67,5268,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0
6,2554,1,51,3340,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0
15,2833,1,74,3286,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1
12,955,1,67,4037,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0
5,2416,1,82,5064,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1
2,1117,1,83,5068,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0
8,4076,1,88,3010,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1
18,3303,1,70,2697,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1
7,193,1,94,4347,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1
13,1473,1,99,4166,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
19,2369,1,72,5284,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1
3,3954,1,68,4919,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0
15,3497,1,95,3970,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1
16,2742,1,70,4750,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1
2,2795,1,87,5780,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1
7,1699,1,78,5222,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1
7,207,1,93,2739,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0
13,1482,1,73,3091,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
16,3125,1,95,4016,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
19,2670,1,77,3054,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1
1,1886,1,77,3437,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0
1,4175,1,72,4490,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1
6,1227,1,72,3861,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0
6,4870,1,80,5344,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1
17,878,1,94,2819,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
14,3711,1,72,2626,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1
17,555,1,96,4241,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0
15,3268,1,62,3473,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1
12,2692,1,99,4137,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1
16,2911,1,98,4973,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1
1,4165,1,50,2496,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1
13,1323,1,91,5979,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1
13,549,1,84,5112,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1
15,2052,1,73,2698,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0
19,1290,1,95,4521,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
17,3060,1,81,2422,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0
12,2611,1,86,4859,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0
17,4018,1,78,3608,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1
17,4062,1,80,3473,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1
6,1649,1,78,5160,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1
18,2222,1,74,3985,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1
18,3686,1,50,3718,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
12,3381,1,90,4651,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0
5,549,1,89,2789,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0
14,3825,1,88,5153,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1
1,3294,1,92,3681,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
10,4638,1,54,2750,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1
15,989,1,83,3282,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1
4,743,1,90,5318,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0
3,1659,1,81,3201,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
8,280,1,94,4070,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0
13,3770,1,74,3675,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1
9,510,1,86,5676,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1
4,3250,1,68,5225,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1
13,706,1,91,3495,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1
3,565,1,55,4202,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1
9,1519,1,81,2887,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0
7,1840,1,78,4297,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0
9,2535,1,79,4030,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1
9,1811,1,68,5797,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1
19,3708,1,85,4190,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1
16,891,1,97,2878,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0
8,397,1,81,4282,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0
4,4205,1,95,4914,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1
7,4356,1,61,2600,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0
19,1438,1,86,4546,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
11,2229,1,81,5794,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0
7,1065,1,88,2853,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
17,2605,1,87,4741,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0
19,4523,1,98,3639,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0
15,4990,1,80,4119,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0
16,3712,1,82,5721,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0
6,2141,1,53,3859,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0
19,806,1,56,5127,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0
10,1193,1,58,4411,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0
17,426,1,70,5765,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1
18,4047,1,55,5221,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0
2,1625,1,97,4602,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1
19,3930,1,64,4831,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1
1,2678,1,75,2346,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1
9,3674,1,61,3012,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1
18,2626,1,60,2249,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
16,3038,1,66,3881,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1
8,4622,1,54,2739,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1
20,318,1,54,5378,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1
7,367,1,90,4987,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
3,4524,1,66,5177,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
2,4417,1,63,4451,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0
11,4479,1,84,4284,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0
2,2711,1,69,4777,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1
14,316,1,68,3437,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0
18,2322,1,60,3078,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0
18,840,1,93,4077,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0
12,2698,1,97,4103,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
17,4128,1,69,2747,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0
19,4840,1,56,4894,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0
19,2383,1,94,4353,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1
16,4475,1,65,4605,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0
12,2804,1,63,2623,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1
19,938,1,66,3635,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1
16,1229,1,56,3569,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0
9,2066,1,69,2860,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0
19,765,1,64,3445,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0
13,3400,1,76,3851,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0
